species|Leaf shape: 5. leaf base|First historical record: 1. date|After-ripening requirement|Root depth: 1. type|Root persistence|Stomata: 1. surfaces present|Sepal number|Range: 3. continents where native|Range: 2. european countries where introduced|Age at first flowering|Incompatibility systems|Photosynthetic pathway|Vegetative reproduction/persistence: 2. pattern|Ellenberg: Temperature|Soil pH: 2. extreme minimum|Leaf lamina thickness: 1. range|Seed viability|Drought Tolerance|Height: 4. typical minimum (cm)|Chromosome number(s): 1. number|Maximum seedbank density (m2)|Change Index|Heteromorphy|Flow|Soil moisture: 3. supply|Lemma|Minimum temperature germination|Ellenberg: Continetality|Seed/ovule ratio|Cleistogamy|Dispersal agent|Height: 2. extreme minimum (cm)|Response to vertebrate grazing|Soil moisture: 1. water table|Normal method of propagation|Stomata: 3. density on upper surface (no/mm2)|Mono/poly-carpic|Longevity of stems (yrs)|Seedbank type|Petal no|Dynamics|Max. Stem Diameter (mm)|Pollen viability|Leaf shape: 6. petiole|Flowering time: 2. latest month|Germination requirements 3. temperature fluctuation|Petal (sepal) size (cm)|Mature leaf N concentration (mg/g)|rgr|Ellenberg Indicator: Salt|Altitude: 1. maximum recorded (m)|Seed production: 2. typical range (/flower)|Pollen vector|Status|Life Form: normal state|Soil pH: 1. extreme maximum|Exposure|Southern European Limit (Latitude, 5C band)|Response to drought|Ellenberg Indicator: Light|Northern Limit in Britain|Ellenberg Indicator: Nitrogen|Annual seed dispersal|Continentality|Dispersule size - length of longest axis (mm)|Nutrition|Stems: 2. support|Height: 3. typical maximum (cm)|Seed weight: 1. maximum (mg)|Minimum temperature at which 50% seeds germinate|Seedbank density: recorded values|Time of seed dispersal (season)|Water pH: 4. typical minimum|EW Index|Life-form|First historical record: 2. site|Leaf shape: 8. maximum petiole length (mm)|Ellenberg: pH|Inflorescence type|Ellenberg : Moisture|number of European countries in which native|July mean temperature|Heterophylly|Fine root diameter (um)|Altitude: 2. minimum recorded (m)|Leaf longevity: 2. number of months|Maximum depth of leaves|Maximum temperature of germination|2C DNA content (pg)|SN Index|British distribution (post 1949 records)|Seedbank longevity|Germination requirements 2. light|Mean seedbank density (m2)|Vegetative reproduction/persistence: 1. method|Dicliny|Germination type|Fertilization|Clonality: normal state|Rarity Status|Seed production: 1. maximum (/flower)|Mature leaf P concentration (mg/g)|Fossil record: 1. earliest record|Root hairs|Leaf shape: 1. type|Stamen number|Leaf shape: 4. length versus breadth|Root depth: 2. depth (cm)|Glume, upper|Photoperiodism: 1. type|Maximum temperature at which 50% seeds germinate|Conservation Status|Pollen: 1. mono/di-morphic|Heavy metal resistance|Life Form: less frequent state|Seedling growth rate - maximum (/d)|Physical defences on leaves|Medicinal Use|Response to frost (non-woody tissue)|Physical defences on stems|Leaf position|Southern European Limit|Flower colour|Time of germination (season)|Clonality: less frequent state|Auricle|Water nutrients|Seed production: 3. typical range (/plant)|Mean Spore Diameter (Pteridophytes) (µ m )|Soil pH: 4. typical minimum|Northern European Limit (Lat,5C band)|Stomata: 2. density on lower surface(no/mm2)|Flowering time: 1. earliest month|Water pH: 3. typical maximum|Leaf folding|Pollen: 2. diameter (um)|Spread|Germination requirements 1. chilling|Leaf area (cm2)|Carpel/Style number|Waterlogging tolerance|Response to frost (seedlings)|Water pH: 2. extreme minimum|Physical defences on flowers/fruits|Soil nutrients|Glume lower|Pollen/ovule ratio|Seed size - length of longest axis (mm)|Stomata 4: density, surface indeterminate (no/mm2)|Water pH: 1. extreme maximum|Mean plant dry mass(mg)|Leaf shape: 2. outline|Appendages on dispersal unit|Leaf shape: 7. minimum petiole length (mm)|Stigma number|Leaf shape: 3. pointed/round|Carnivory|Range: 4. continents where introduced|Height 5: Mean (cm)|Soil pH: 3. typical maximum|Photoperiodism: 2. threshold value (h)|Altitude: 4. typical minimum (m)|Palea|Leaf longevity: 1. type|Shade|Annual precipitation|Seed weight: 3. mean (mg)|Seed weight: 2. minimum (mg)|January mean temperature|Ligule|Flowering time: 3. peak month|Stems: 1. woodiness|Root hair length (mm)|Root system|Height: 1. extreme maximum (cm)|Minimum seedbank density (m2)|Shade tolerance|Range: 1. european countries where native|Dichogamy|Inbreeding (%)|Rgr max|Biome|Soil moisture: 2. drainage|Physical defences on buds|Salinity|Typical abundance where naturally occurring|Fossil record: 2. earliest postglacial record|Eastern Limit|id
solanum_triflorum|nan|nan|nan|nan|nan|nan|5|North America|nan|nan|nan|C3|no ramets|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|seed|nan|nan|<1|nan|5|nan|nan|nan|petiolate|9|nan|nan|nan|nan|nan|nan|nan|insect|naturalised|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|autotrophic|self-supporting|100|nan|nan|nan|nan|nan|0.87|therophyte|nan|nan|nan|nan|nan|nan|nan|none|nan|nan|nan|nan|nan|nan|2.73|nan|nan|nan|nan|none|hermaphrodite|nan|nan|nan|nan|nan|nan|nan|nan|simple|5|1-3 times as long as wide|nan|nan|nan|nan|nan|nan|none|nan|nan|soft hairs|nan|nan|soft hairs|nan|nan|cyme, white|nan|nan|nan|nan|nan|nan|nan|nan|nan|7|nan|nan|nan|height = width|nan|nan|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|lobed|nan|nan|1|pointed|does not kill insects|Europe|nan|nan|nan|nan|nan|nan|nan|nan|1|nan|nan|nan|nan|non-woody|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|1520100050
solanum_tuberosum|nan|nan|nan|nan|nan|nan|5|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|5|nan|nan|nan|nan|nan|nan|1.5|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|cyme|nan|nan|nan|nan|nan|nan|nan|nan|nan|1.75, 4.20|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|5|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|white|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|0.7|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|1520100080
solanum_vernei|nan|nan|nan|nan|nan|nan|5|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|5|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|1.6|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|5|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|920003573
solanum_villosum|nan|nan|nan|nan|nan|nan|5|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|5|nan|nan|nan|nan|nan|nan|0.9|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|cyme|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|5|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|white|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|0.9|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|920001948
solanum_x_procurrens=s_nigrum_x_s_physalifolium|nan|nan|nan|nan|nan|nan|5|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|5|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|5|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|920002544
solidago_canadensis|cuneate|nan|nan|nan|nan|nan|0|North America|nan|nan|present, mechanism unknown|C3|diffuse ramets|6, 6|nan|nan|nan|nan|30|18, 36, 54|421|nan|nan|nan|nan|nan|nan|5|nan|nan|wind|nan|nan|nan|vegetative|nan|nan|<1|seedbank present, type uncertain, transient|5|increasing|nan|variable|petiolate, sessile|10|nan|0.01, 0.04|nan|nan|0, 0, 0|nan|10-100|insect|naturalised|Hemicryptophyte|nan|nan|<45|nan|7, 8, 8|No|6, 6, 6|nan|Not continental|3|autotrophic|self-supporting|250|nan|nan|nan|nan|nan|3.71|hemicryptophyte|nan|nan|6, 6x, nan|capitulum|5, 5x, nan|nan|16|none|nan|nan|nan|nan|nan|3.15|2.7|nan|nan|nan|101.5|rhizomes|gynomonoecious|nan|obligatory cross|Rhizome shortly creeping|nan|nan|nan|nan|nan|simple|5|>3 times as long as wide|nan|nan|nan|nan|nan|nan|none|nan|nan|stiff hairs|nan|nan|soft hairs|nan|No|yellow|spring|nan|nan|nan|>10000|nan|nan|>65|nan|8|nan|nan|nan|height > width|nan|nan|1|nan|nan|nan|nan|fertile|nan|nan|1|nan|nan|12266|toothed|pappus|0|2|pointed|does not kill insects|Europe|nan|nan|nan|nan|nan|nan|none|833|0.06, 0.063, 0.089, 0.11, 0.9|nan|3.6|nan|nan|non-woody|nan|adventitious, fibrous|nan|1|nan|nan|nan|nan|nan|Mediterranean|nan|nan|nan|dominant|nan|Hyperoceanic|1690030030
solidago_gigantea|cuneate|nan|nan|nan|nan|nan|0|North America|nan|nan|nan|C3|diffuse ramets|6, 6|nan|nan|nan|nan|50|36|14|nan|nan|nan|nan|nan|nan|5|nan|nan|nan|30|nan|nan|vegetative|nan|nan|<1|seedbank present, type uncertain, transient|5|nan|nan|nan|petiolate, sessile|10|nan|0.01|nan|nan|0, 0, 0|nan|nan|insect|naturalised|Hemicryptophyte|nan|nan|nan|nan|7, 8, 8|No|6, 7, 7|nan|Not continental|4|autotrophic|self-supporting|150|nan|nan|nan|nan|nan|3.68|hemicryptophyte|nan|nan|5, 6x, nan|capitulum|5, 6, 6|nan|15.5|none|nan|nan|nan|nan|nan|3.64|2.86|nan|nan|nan|14|rhizomes|gynomonoecious|nan|nan|Rhizome shortly creeping|nan|nan|nan|nan|nan|simple|5|>3 times as long as wide|nan|nan|nan|nan|nan|nan|none|nan|nan|stiff hairs|nan|nan|glabrous, soft hairs|nan|No Data|0.06, yellow|nan|nan|nan|nan|nan|nan|nan|nan|nan|8|nan|nan|nan|height > width|nan|nan|1|nan|nan|nan|nan|fertile|nan|nan|1|nan|nan|nan|toothed|pappus|0|2|pointed|does not kill insects|Europe|nan|nan|nan|nan|nan|nan|none|854|0.22, 1.5|nan|3.5|nan|nan|non-woody|nan|nan|250|14|nan|nan|nan|nan|nan|Mediterranean|nan|nan|nan|dominant|nan|Hyperoceanic|1690030040
solidago_graminifolia|nan|nan|nan|nan|nan|nan|0|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|5|nan|nan|nan|nan|nan|nan|0.3|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|100|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|capitulum|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|5|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|yellow|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|2|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|0.07, 0.07|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|1690030050
solidago_rugosa|nan|nan|nan|nan|nan|nan|0|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|5|nan|nan|nan|nan|nan|nan|0.13, 0.27|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|200|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|capitulum|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|5|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|yellow|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|2|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|0.083, 0.083|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|920004341
solidago_virgaurea|cuneate|1570|none|nan|nan|both|0|Asia, Europe, North America|nan|nan|none|C3|patch-forming|5, nan|nan|nan|nan|nan|5|18|nan|-0.89|nan|nan|nan|nan|nan|nan|nan|nan|wind|nan|decreases|nan|seed|80|polycarpic|<1|short-term persistent, transient|5|nan|nan|nan|petiolate, sessile|9|nan|nan|nan|nan|0, 0, nan|1005|10-100|insect|native|Hemicryptophyte|nan|nan|<45|nan|5, 6, nan|No|3, 4, nan|nan|Not continental|7.8|autotrophic|self-supporting|75|nan|nan|nan|autumn|nan|5.28|hemicryptophyte|Hampstead, London|nan|4, 5x, nan|capitulum|5, 5, nan|28|14|none|nan|0|nan|nan|nan|2.27|4.19|nan|nan|nan|nan|branching root stock|gynomonoecious|epigeal|cross or automatic self|Little or no vegetative spread|Present|35|nan|nan|nan|simple|5|1-3 times as long as wide, >3 times as long as wide|nan|nan|nan|nan|nan|nan|none|nan|nan|glabrous, soft hairs|colds, fractures, heart ailments, kidney ailments, stomach ache, wounds|nan|glabrous, soft hairs|nan|No|yellow|nan|nan|nan|nan|1000-10000|nan|nan|>65|78|7|nan|nan|24.3, 31|height > width|nan|1-10|1|nan|nan|nan|soft hairs|infertile|nan|nan|2.8|nan|nan|nan|toothed|pappus|0|2|pointed|does not kill insects|nan|nan|nan|nan|0|nan|aestival|light, mid, none|1217|0.52, 0.55|nan|3.4|nan|nan|non-woody|nan|nan|nan|nan|nan|nan|nan|nan|nan|Boreo-Temperate|nan|nan|nan|scattered|nan|Eurasian|1690030010
solidago_x_niederederi=s_virgaurea_x_s_canadensis|nan|nan|nan|nan|nan|nan|0|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|5|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|capitulum|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|5|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|yellow|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|2|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|920007589
sonchus_arvensis|not applicable|1629|none|deep|nan|both|0|Asia, Europe|nan|nan|none|C3|diffuse ramets|5, 5|nan|nan|much non-viable|nan|60|36, 54|775|-0.12|nan|nan|nan|nan|nan|nan|nan|nan|wind|nan|nan|nan|seed and vegetative|4|nan|<1|long-term persistent, seedbank present, type uncertain, short-term persistent, transient|5|declining|nan|nan|nan|10|absolute|nan|nan|nan|1, 1, 1|448|100-1000|insect|native|Hemicryptophyte|nan|nan|<45|nan|7, 7, 8|Yes|6, 7x, nan|nan|Not continental|nan|autotrophic|self-supporting|150|0.69|nan|nan|nan|nan|4.54|hemicryptophyte|Rochester, Kent|nan|7, 7, 7|capitulum|5, 5~, 6|26|15|none|nan|0|nan|nan|nan|nan|3.12|nan|nan|partial|188|stolons|hermaphrodite|nan|cross or automatic self, obligatory cross|Rhizome far creeping|Present|191|nan|nan|present|simple|5|>3 times as long as wide|10-50, >100|nan|nan|nan|nan|nan|none|nan|nan|glabrous|burns, cramp, warts|nan|nan|nan|No|yellow|spring|nan|nan|nan|>10000|nan|nan|50-55|374|7|nan|nan|nan|height > width|absolute|nan|1|nan|nan|nan|nan|fertile, infertile, very fertile|nan|nan|3.3|nan|nan|nan|lobed and toothed|plume of hairs|nan|2|pointed|does not kill insects|Africa, Australasia, North America, South America|nan|nan|nan|0|nan|aestival|none|1013|0.35, 0.49, 0.6|0.38|3.8|nan|nan|non-woody|nan|tap root|nan|5|nan|nan|nan|nan|nan|Temperate|nan|nan|brackish, fresh|frequent|nan|Euro-Siberian|1691660070
sonchus_asper|not applicable|1833|nan|nan|nan|both, lower|0|Africa, Asia, Europe|nan|6-12 weeks|none|C3|no ramets|5, 6|nan|nan|high|nan|20|18|1820|0.78|nan|nan|nan|nan|nan|nan|nan|cleistogamy not recorded|wind|nan|decreases|nan|seed|0, 42.19|monocarpic|<1|long-term persistent, seedbank present, type uncertain, short-term persistent, transient|5|increasing, increasing|nan|nan|nan|8|absolute|nan|nan|nan|0, 1, 1|396|100-1000|insect|native|Therophyte|nan|nan|<45|nan|7, 7, 7|No|6, 7, 7|nan|Not continental|10.5|autotrophic|self-supporting|150|nan|9|nan|spring, summer|nan|4.55|therophyte|nan|nan|7, 7, 7|capitulum|5, 5, 6|31|15|none|nan|0|nan|nan|nan|3.7|3.44|nan|nan|partial|338|none|hermaphrodite|epigeal|normally self|Little or no vegetative spread|Present|nan|nan|nan|nan|simple|5|1-3 times as long as wide|50-100|nan|nan|35|nan|nan|none|nan|nan|glabrous|burns, cramp, warts|resistant|glandular hairs|nan|No|yellow|autumn, spring|nan|nan|nan|>10000|nan|nan|>65|42.19|6|nan|nan|nan|height > width|partial|100-1000|1|nan|nan|nan|nan|fertile, very fertile|nan|nan|2.5|nan|nan|nan|lobed and toothed|pappus|nan|2|pointed|does not kill insects|Australasia, North America, South America|nan|nan|nan|0|nan|semi-evergreen|light, none|1070|0.28, 0.32|nan|3.7|nan|nan|non-woody|nan|tap root|nan|6|nan|nan|nan|nan|nan|Southern Temperate|free-draining|nan|brackish|frequent|nan|European|1691660010
sonchus_oleraceus|cordate|1538|none|nan|nan|lower|0|Africa, Asia, Europe|nan|<6 weeks|none|C3|no ramets|6, 6|6.5|nan|high|nan|20|32|1581|-0.42|nan|nan|nan|nan|nan|nan|nan|cleistogamy not recorded|wind|nan|nan|nan|seed|0|monocarpic|<1|long-term persistent, seedbank present, type uncertain, short-term persistent, transient|5|increasing|nan|nan|clasping|12|nan|nan|nan|nan|0, 0, 1|365|100-1000|insect|native|Therophyte|9|nan|nan|wilts and recovers|7, 7, 7|No|7, 8, 8|regular|Not continental|11.2|autotrophic|self-supporting|150|nan|6|nan|autumn, spring, summer|nan|4.53|hemicryptophyte|nan|0|7, 7, 8|capitulum|4, 5, 5|31|15|none|<100|0|nan|nan|nan|3.3|3.23|nan|5-20 yrs|none|223|nan|hermaphrodite|epigeal|normally self|Little or no vegetative spread|Present|200|nan|nan|nan|simple|5|1-3 times as long as wide|nan|nan|long-day|34|nan|nan|none|nan|nan|glabrous|burns, cramp, warts|nan|glandular hairs|nan|No Data|yellow|autumn, spring|nan|nan|nan|1000-10000|nan|nan|nan|nan|1|nan|nan|nan|height > width|partial|10-100|1|nan|nan|nan|nan|fertile|nan|nan|3.2|nan|nan|nan|lobed and toothed|pappus|0|2|pointed|does not kill insects|Asia, Australasia, North America, South America|nan|nan|nan|0|nan|semi-evergreen|none|1031|0.27, 0.3|nan|3.7|nan|6, 7, 8|non-woody|nan|tap root|nan|8|nan|nan|nan|nan|nan|Southern Temperate|nan|nan|fresh, salt-affected|frequent|nan|European|1691660030
sonchus_palustris|sagittate|1666|nan|nan|nan|nan|0|Europe|nan|nan|nan|C3|diffuse ramets|6, 6|nan|nan|nan|nan|90|18|nan|0.18|nan|nan|nan|nan|nan|6|nan|nan|carried by birds, water, wind|nan|nan|nan|seed|nan|nan|<1|nan|5|nan|nan|nan|clasping|9|nan|nan|nan|nan|1, 1, 2|nan|10-100|insect|native|Hemicryptophyte|nan|nan|<45|nan|7, 7, 7|No|7, 7, 7|nan|Not continental|nan|autotrophic|self-supporting|300|nan|nan|nan|nan|nan|1.29|hemicryptophyte|London|0|7, 7, 7|capitulum|8, 8, 8~|18|16|developmental|nan|0|nan|nan|nan|nan|2.05|21|nan|nan|nan|tubers|nan|nan|nan|Little or no vegetative spread|Scarce|122|nan|nan|nan|simple|5|1-3 times as long as wide|nan|nan|nan|nan|nan|nan|none|nan|nan|nan|nan|nan|glandular hairs|nan|No|yellow|nan|nan|nan|nan|>10000|nan|nan|>65|nan|7|nan|nan|nan|height > width|nan|nan|1|nan|nan|nan|nan|fertile, fertile|nan|nan|4|nan|nan|nan|lobed and toothed|nan|0|2|pointed|does not kill insects|nan|nan|nan|nan|0|nan|nan|light, none|615|0.57, 0.94|nan|3.8|nan|nan|non-woody|nan|nan|nan|nan|nan|nan|nan|nan|nan|Temperate|nan|nan|brackish, fresh, salt-affected|scattered|nan|Euro-Siberian|1691660050
sorbaria_kirilowii|nan|nan|nan|nan|nan|nan|5|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|5|nan|nan|nan|nan|nan|nan|0.75|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|panicle|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|20|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|white|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|5|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|5|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|0.2388|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|920007590
sorbaria_sorbifolia|nan|nan|nan|nan|nan|nan|5|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|2|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|5|nan|nan|nan|nan|nan|nan|0.65|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|147|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|panicle|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|45|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|white|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|5|2|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|5|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|100.3, 50.3|nan|nan|nan|nan|nan|nan|nan|nan|nan|2.5|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|800010010
sorbaria_tomentosa|nan|nan|nan|nan|nan|nan|5|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|5|nan|nan|nan|nan|nan|nan|0.75|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|panicle|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|20|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|white|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|5|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|5|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|0.084|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|800010020
